Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00435229897106417","1,19101823147447E-06","0,206310280142742",0,0,0,"118,32754627267","4,47689007324204","4,43639388222346E-05","-0,282702973308682","4,82074220348992","2,31671022438448E-05","5,23809069840615",0,0,0,0,0,0,package://baugruppe_arti4/meshes/base_link.STL,"0,909803921568627","0,443137254901961","0,0313725490196078",1,0,0,0,0,0,0,package://baugruppe_arti4/meshes/base_link.STL,,basis_arti-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
achse1,"6,93889390390723E-18","-0,11465842559516","-5,0349895881356E-17",0,0,0,"37,2990953823488","1,58478276326517","6,72682473106839E-17","2,56697693671266E-07","1,78904675337478","-3,48174136545842E-17","0,790434634778931",0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse1.STL,1,1,0,1,0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse1.STL,,achse1_arti-2,Origin_achse1,Axis_achse1,achse1,continuous,"0,0350000000000001",0,"0,452","-1,5707963267949",0,0,base_link,0,1,0,,,,,,,,,,,,
achse2,"-0,20000241917792","2,17580123362815E-09","1,95958403433266E-06",0,0,0,"50,198715025992","1,10727917154317","-2,41399858669304E-07","2,94734339886711E-11","1,40197024292102","-2,64709386633196E-07","0,879798937506276",0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse2.STL,0,1,0,1,0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse2.STL,,achse2_arti-2,Origin_achse2,Axis_achse2,achse2,continuous,0,"-0,2",0,"-3,14159265358979",0,"1,5707963267949",achse1,0,0,1,,,,,,,,,,,,
achse3,"-0,191833083805588","-1,9595890479206E-06","-2,77555756156289E-17",0,0,0,"39,4811032739565","1,95192669647927","-1,73409535332591E-16","-2,12396957990674E-16","1,72974079833023","2,16840434497101E-16","3,29933055799716",0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse3.STL,0,1,1,1,0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse3.STL,,achse3_arti-2,Origin_achse3,Axis_achse3,achse3,continuous,"-0,400000000000001",0,0,"-1,5707963267949",0,0,achse2,0,1,0,,,,,,,,,,,,
achse4,"0,057535307950419","0,0411539935888574","1,95958904790402E-06",0,0,0,"75,8024522154093","2,44855643577337","-0,362721911973878","8,23601090278812E-18","2,69457704418384","1,68922518611178E-16","2,71260798797946",0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse4.STL,0,0,1,1,0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse4.STL,,achse4_arti-2,Origin_achse4,Axis_achse4,achse4,continuous,"-0,399999999999999",0,0,"1,5707963267949","-1,5707963267949",0,achse3,0,0,1,,,,,,,,,,,,
achse5,"-1,80193934313788E-05","0,000118318329248121","0,164175255546401",0,0,0,"12,062537692943","0,322800598748907","-2,61435617459413E-08","-3,40682810523782E-05","0,258394199817323","0,000121923317188701","0,223448646036243",0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse5.STL,1,0,1,1,0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse5.STL,,achse5_arti-4,Origin_achse5,Axis_achse5,achse5,continuous,"0,318896988774263","0,141654099261087",0,"-1,5707963267949",0,"-1,5707963267949",achse4,0,0,1,,,,,,,,,,,,
achse6,"-0,0103023778101935","-1,48497864755232E-06","6,66133814775094E-16",0,0,0,"11,7787579135722","0,110992482917872","9,37468004942909E-18","1,78551536412936E-18","0,127560903807858","3,58438038934541E-18","0,121824672671966",0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse6.STL,"0,501960784313725","0,501960784313725","0,501960784313725",1,0,0,0,0,0,0,package://baugruppe_arti4/meshes/achse6.STL,,achse6_arti-2,Origin_achse6,Axis_achse6,achse6,continuous,0,0,"0,305281304512374",0,"1,5707963267949",0,achse5,0,1,0,,,,,,,,,,,,
