Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.7173E-18,-3.8342E-18,0.10291,0,0,0,2.7821,0.021401,-1.9687E-19,-3.5753E-19,0.021401,6.9508E-19,0.0074192,0,0,0,0,0,0,package://scara/meshes/base_link.STL,1,1,0,1,0,0,0,0,0,0,package://scara/meshes/base_link.STL,,achse1-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.08204,-8.9299E-17,0.030511,0,0,0,0.71062,0.00037208,8.7629E-09,1.5979E-06,0.0035198,3.6632E-20,0.0038467,0,0,0,0,0,0,package://scara/meshes/Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://scara/meshes/Link1.STL,,achse2-1,Coordinate System2,Axis1,Joint1,revolute,0,0,0.26,0,0,0,base_link,0,0,1,100,1.5,-3.14,3.14,,,,,,,,
Link2,0.051977,6.6437E-09,0.065112,0,0,0,0.99972,0.0012785,-1.638E-10,0.00047141,0.0044236,-1.5222E-10,0.0042708,0,0,0,0,0,0,package://scara/meshes/Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://scara/meshes/Link2.STL,,achse3-3,Coordinate System3,Axis2,Joint2,revolute,0.2,0,0.05,0,0,0,Link1,0,0,1,100,1.5,-2,2,,,,,,,,
Link3,2.4043E-10,-4.07E-11,0.077691,0,0,0,0.10305,0.0014027,3.1594E-10,-3.8252E-12,0.0014027,6.4751E-13,4.2483E-06,0,0,0,0,0,0,package://scara/meshes/Link3.STL,1,0,1,1,0,0,0,0,0,0,package://scara/meshes/Link3.STL,,achse4-1,Coordinate System4,Axis3,Joint3,prismatic,0.15,0,0.02,3.1416,0,0,Link2,0,0,-1,100,0.3,0.05,0.3,,,,,,,,
Link4EF,-5.1976E-05,-0.00030708,-0.014939,0,0,0,0.0075676,6.4307E-07,3.7365E-09,4.4753E-10,6.6451E-07,2.6442E-09,7.2342E-07,0,0,0,0,0,0,package://scara/meshes/Link4EF.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://scara/meshes/Link4EF.STL,,Werkzeug_Sauger-1,Coordinate System5,Axis3,Joint4EF,revolute,0,0,0.295,0,0,0,Link3,0,0,-1,50,1.5,-3.14,3.14,,,,,,,,
